speccode,english_name,status
1274,steppe grey shrike,g
1281,siberian stonechat,g
1282,yellow-legged gull,a
1283,caspian gull,a
1284,american herring gull,g
1286,alexandrine parakeet,g
1287,lanner falcon,g
1288,helmeted guineafowl,g
1289,harris's hawk,g
1291,silver pheasant,g
1292,cockatiel,g
1293,reeves's pheasant,g
1294,budgerigar,g
1332,eastern rosella,g
1343,rosy-billed pochard,g
1344,new zealand scaup,g
1345,lake duck,g
1352,african sacred ibis,g
1354,red-tailed hawk,g
1358,sulphur-crested cockatoo,g
1359,rosy-faced lovebird,g
1377,scarlet macaw,g
1431,cackling goose,g
1437,australasian shoveler,g
1469,pacific diver,g
1530,glaucous-winged gull,g
1535,common/scottish crossbill,g
1537,wilson's snipe,g
1538,blue-and-yellow macaw,g
1559,bernier's teal,g
1563,pin-tailed whydah,g
1569,atlantic canary,g
1570,great blue heron,g
1575,cape barren goose,g
1578,barbary dove,g
1579,java sparrow,g
1582,grey parrot,g
1583,rock/water pipit ,g
1584,white-cheeked turaco,g
1586,violet turaco,g
1603,house crow,g
1663,blue-crowned parakeet,g
