speccode,english_name,scientific_name,taxonomic_rank
415,arctic warbler,phylloscopus borealis,species
416,pallas's warbler,phylloscopus proregulus,species
417,yellow-browed warbler,phylloscopus inornatus,species
418,radde's warbler,phylloscopus schwarzi,species
419,dusky warbler,phylloscopus fuscatus,species
420,western bonelli's warbler,phylloscopus bonelli,species
421,wood warbler,phylloscopus sibilatrix,species
422,chiffchaff,phylloscopus collybita,species
423,willow warbler,phylloscopus trochilus,species
424,goldcrest,regulus regulus,species
425,firecrest,regulus ignicapilla,species
426,spotted flycatcher,muscicapa striata,species
427,red-breasted flycatcher,ficedula parva,species
429,pied flycatcher,ficedula hypoleuca,species
430,bearded tit,panurus biarmicus,species
431,long-tailed tit,aegithalos caudatus,species
432,marsh tit,poecile palustris,species
433,willow tit,poecile montanus,species
434,crested tit,lophophanes cristatus,species
435,coal tit,periparus ater,species
436,blue tit,cyanistes caeruleus,species
437,great tit,parus major,species
438,nuthatch,sitta europaea,species
440,treecreeper,certhia familiaris,species
441,short-toed treecreeper,certhia brachydactyla,species
442,penduline tit,remiz pendulinus,species
443,golden oriole,oriolus oriolus,species
444,daurian/turkestan (isabelline) shrike,lanius isabellinus/phoenicuroides,species aggregate
445,red-backed shrike,lanius collurio,species
447,great grey shrike,lanius excubitor,species
449,jay,garrulus glandarius,species
450,magpie,pica pica,species
452,chough,pyrrhocorax pyrrhocorax,species
453,jackdaw,coloeus monedula,species
454,rook,corvus frugilegus,species
455,carrion crow,corvus corone,species
456,raven,corvus corax,species
457,starling,sturnus vulgaris,species
458,rosy starling,pastor roseus,species
459,house sparrow,passer domesticus,species
461,tree sparrow,passer montanus,species
466,chaffinch,fringilla coelebs,species
467,brambling,fringilla montifringilla,species
468,serin,serinus serinus,species
470,greenfinch,chloris chloris,species
471,goldfinch,carduelis carduelis,species
472,siskin,spinus spinus,species
473,linnet,linaria cannabina,species
474,twite,linaria flavirostris,species
475,common/lesser redpoll,acanthis flammea/cabaret,species aggregate
476,arctic redpoll,acanthis hornemanni,species
477,two-barred crossbill,loxia leucoptera,species
478,common crossbill,loxia curvirostra,species
479,scottish crossbill,loxia scotica,species
480,parrot crossbill,loxia pytyopsittacus,species
481,trumpeter finch,bucanetes githagineus,species
482,common rosefinch,carpodacus erythrinus,species
484,bullfinch,pyrrhula pyrrhula,species
485,hawfinch,coccothraustes coccothraustes,species
496,american redstart,setophaga ruticilla,species
508,white-crowned sparrow,zonotrichia leucophrys,species
509,white-throated sparrow,zonotrichia albicollis,species
510,dark-eyed junco,junco hyemalis,species
511,lapland bunting,calcarius lapponicus,species
512,snow bunting,plectrophenax nivalis,species
513,pine bunting,emberiza leucocephalos,species
514,yellowhammer,emberiza citrinella,species
515,cirl bunting,emberiza cirlus,species
517,ortolan bunting,emberiza hortulana,species
520,rustic bunting,emberiza rustica,species
521,little bunting,emberiza pusilla,species
524,reed bunting,emberiza schoeniclus,species
528,corn bunting,emberiza calandra,species
900,rock pipit,anthus petrosus,species
901,water pipit,anthus spinoletta,species
910,hooded crow,corvus cornix,species
1008,balearic shearwater,puffinus mauretanicus,species
1015,fulvous whistling duck,dendrocygna bicolor,species
1017,swan goose,anser cygnoides,species
1018,bar-headed goose,anser indicus,species
1019,ross's goose,anser rossii,species
1020,emperor goose,anser canagicus,species
1022,muscovy duck,cairina moschata,species
1023,falcated duck,mareca falcata,species
1024,white-cheeked pintail,anas bahamensis,species
1025,marbled duck,marmaronetta angustirostris,species
1027,lesser scaup,aythya affinis,species
1030,chukar partridge,alectoris chukar,species
1032,american golden plover,pluvialis dominica,species
1049,mourning dove,zenaida macroura,species
1052,buff-bellied pipit,anthus rubescens,species
1066,hume's warbler,phylloscopus humei,species
1067,iberian chiffchaff,phylloscopus ibericus,species
1070,brown shrike,lanius cristatus,species
1078,common redpoll,acanthis flammea,species
1079,lesser redpoll,acanthis cabaret,species
1138,blacksmith lapwing,vanellus armatus,species
1149,nene,branta sandvicensis,species
1151,magpie goose,anseranas semipalmata,species
1154,south african shelduck,tadorna cana,species
1155,australian shelduck,tadorna tadornoides,species
1156,paradise shelduck,tadorna variegata,species
1157,chiloe wigeon,mareca sibilatrix,species
1159,yellow-billed teal,anas flavirostris,species
1160,red-billed teal,anas erythrorhyncha,species
1161,ringed teal,callonetta leucophrys,species
1162,maned duck,chenonetta jubata,species
1185,black swan,cygnus atratus,species
1190,village weaver,ploceus cucullatus,species
1191,black-headed weaver,ploceus melanocephalus,species
1194,chestnut teal,anas castanea,species
1196,trumpeter swan,cygnus buccinator,species
1197,white-faced whistling duck,dendrocygna viduata,species
1199,green-winged teal,anas carolinensis,species
1215,monk parakeet,myiopsitta monachus,species
1217,zebra finch,taeniopygia guttata,species
1248,indian peafowl,pavo cristatus,species
1274,steppe grey shrike,lanius pallidirostris,species
1281,siberian stonechat,saxicola maurus,species
1282,yellow-legged gull,larus michahellis,species
1283,caspian gull,larus cachinnans,species
1284,american herring gull,larus smithsonianus,species
1286,alexandrine parakeet,psittacula eupatria,species
1287,lanner falcon,falco biarmicus,species
1288,helmeted guineafowl,numida meleagris,species
1289,harris's hawk,parabuteo unicinctus,species
1291,silver pheasant,lophura nycthemera,species
1292,cockatiel,nymphicus hollandicus,species
1293,reeves's pheasant,syrmaticus reevesii,species
1294,budgerigar,melopsittacus undulatus,species
1332,eastern rosella,platycercus eximius,species
1343,rosy-billed pochard,netta peposaca,species
1344,new zealand scaup,aythya novaeseelandiae,species
1345,lake duck,oxyura vittata,species
1352,african sacred ibis,threskiornis aethiopicus,species
1354,red-tailed hawk,buteo jamaicensis,species
1358,sulphur-crested cockatoo,cacatua galerita,species
1359,rosy-faced lovebird,agapornis roseicollis,species
1377,scarlet macaw,ara macao,species
1431,cackling goose,branta hutchinsii,species
1437,australasian shoveler,spatula rhynchotis,species
1469,pacific diver,gavia pacifica,species
1530,glaucous-winged gull,larus glaucescens,species
1535,common/scottish crossbill,loxia curvirostra/scotica,species aggregate
1537,wilson's snipe,gallinago delicata,species
1538,blue-and-yellow macaw,ara ararauna,species
1559,bernier's teal,anas bernieri,species
1563,pin-tailed whydah,vidua macroura,species
1569,atlantic canary,serinus canaria,species
1570,great blue heron,ardea herodias,species
1575,cape barren goose,cereopsis novaehollandiae,species
1578,barbary dove,streptopelia roseogrisea f. risoria,variety
1579,java sparrow,lonchura oryzivora,species
1582,grey parrot,psittacus erithacus,species
1583,rock/water pipit ,anthus petrosus/spinoletta,species aggregate
1584,white-cheeked turaco,tauraco leucotis,species
1586,violet turaco,musophaga violacea,species
1603,house crow,corvus splendens,species
1663,blue-crowned parakeet,thectocercus acuticaudatus,species
